,content
712,"Kenapa sama tiktok sekarang wooy,selalu eror gk jelas,gk bisa buka tiktok nya,harus uninstall dlu download lagi baru bisa masuk akun nya,tolong di perbaiki lah,buat gak nyaman yg pakai,. Sama potongan klo naik komal jangan besar"",potong 2 x lipat lagih,potong sama tiktok jga hostnya mnding klo kcil, potongan besar,tolong ya di perbaiki kita dsni sama"" kerja cari penghasilan🙏😌kecewa krna 2 ini aja🥺saya kurangin bintang dlu mksih"
713,"Halo perkenalkan nama saya aya, saya pengguna tiktok di sini memberi 3 bintang dulu, di karenakan di saat lagi menonton video, video langsung menghilang dan tidak dapat di lanjutkan untuk menonton lagi, saya sebagai pengguna kecewa, karena itu menganggu kenyaman saya, bukan hanya saya pasti semua orang merasakan juga jadi tolong di perbaiki lagi kedepannya ya, saya memberi 3 bintang dulu, jika ada update yang membuat saya suka saya berikan 5 bintang, itu pun kalo saya suka update terbaru tiktok."
714,"Setelah update aplikasi tidak bisa dibuka stuck di logo tiktok gak bisa masuk walaupun sudah di hapus data,harus download lagi di play store,hadehh makin update makin aneh"
715,"Ini setelah update kok pas buka tiktok ngestuck ya? Setelah ngestuck dan ingin keluar malah HP saya yng ngelag padahal tiktok sebelum update aman' aja dan sekarang malah kayak berat bngt nih aplikasi, kalo gini terus bisa' divice sya bermasalah"
716,"Gak ada niatan gitu buat perbaiki aplikasinya? Ini aplikasi kadang cuma stuck di logo terus bikin hp langsung jadi lag, dan sudah banyak yg mengeluh seperti itu, tidak ada tanggapan"
717,"Ko semakin parah pas udah di update, buka tiktok HP langsung ga gerak, lag parah banget. HP harus di restart ulang. Tolong di perbaiki ini sangat kendala"
718,"tolong banget ya ini, tolong di perbaiki lagi!!! ini udah lebih dari ke 5× download knpa gara' di update malah suka ngga bisa di bukak?? tolong lah ya kesel juga lama-lama"
719,"Tiktok habis update malah jelek, pas buka tiktok malah muncul logonya doang, habis itu HP nya jadi ngelek+ngga bisa buka semua aplikasi, ini mendingan ngga usah update aja, gapapa kaya yang dulu, daripada yang sekarang"
720,"Setelah di update,tiktok lama² sering ngeleg,kadang² saya scrool tidak ada tampilan videonya dan selalu ngecrash. padahal tiktok yg dulu gak ngeleg² tuh. Jadi MINTA TOLONG YA UNTUK ADMIN TIKTOKNYA untuk diperbaik tiktoknya🙏"
721,"Saya mewakili yg udh komen semua, sangat kecewa apk nya ngelag, buka apk cuma muncul logo tiktok doang dan lama bgt. Masa iya di uninstall trs instal lgi mana msuk daftar pke kode otp parah bgt ada apa dgn tiktok skrg? Mana aku ngehost disana mo nge live aja ngelaq mulu, tolong ditingkatkan. Nti saya ksih bintang 5 klu gk ngebugh lgi!"
722,"perbaiki bug yang ada pada tiktok, contohnya yang saya alami itu RAM hp saya yang tadinya 3,6GB setelah membuka titkok hanya berhenti pada logo, dan RAM saya tiba tiba terpakai terus menerus"
723,"Ini kenapa sich heran..tiktok skrg..sering error' melulu..ram 6gb..pas buka loadingnya ..parah bgt..di cek lgs ram jadi sisa 1 GB bahkan jadi tambah kurang.. uninstall, download hampir 4 x .masih j kaya gini..gara2 error' jadi bolong absen oplud video performa jadi turun yg follow jadi onffolow turun 😭"
724,Min kok punyaku dak ada fitur slide foto gitu padahal udah aku update semua nya kan tapi masih aja dak ada fitur nya min udah dikirim pesan lewat email tapi dak ada respon dari pihak tiktok nya mohon penjelasan nya
725,"aplikasi tiktok akhir akhir ini sering terjadi trouble, yaitu stuck di bagian logo tiktok ketika ingin membuka Tiktok, sejauh ini solusinya hanyalah meng hapus kemudian mendownload lagi. akan tetapi saya capek/bosen ketika harus seperti ini terus. saya mohon developer agar mengatasi masalah ini segera"
726,Terdapat bug di hp saya! yang di mana di Saat membuka aplikasi perlu ditekan bebeberapa Kali sebelum terbuka dan di Saat aplikasi terbuka saya hanya stuck di logo padahal penyimpanan masih cukup Lega di hp saya
727,"mohon di perbaiki,kenapa tiktok saya stuck di logo mulu,udh di hapus trus di download lagi bisa di buka eh abis nutup tiktok nya trus mau dibuka malah stuck logo lagi,INI BUKAN YG PERTAMA KALI YA UDH BERULANG KALI,ini terakhir gua download lagi kalau masih terjadi lagi MENDING DOWNLOAD TIKTOK LITE,Kesel gua"
728,"Kenapa habis update untuk video durasi 30 detik/durasi pendek ditiadakan atau tidak bisa, lebih baik tetap bisa untuk upload video durasi pendeknya nonton video lama juga bosen.saya pengen untuk upload video durasi pendek bisa lagi min"
729,"tiktok ini awalnya hiburan buat saya tapi kok setelah update yg baru ini tiktok saya jadi ngga bisa di buka vidionya ngga jalan suaranya ga ada, loading terus padahal sinyal saya lancar tolong di perbaiki"
730,Akhir² ini tik tok emang susah untuk di buka..saya aja sering hapus apk tik tok dulu baru instal baru bisa masuk.. kalo gak begitu Mana bisa masuk ke tik tok
731,"Kenapa aplikasi tiktok kalau dibukak itu cuman ada logo tiktoknya udah saya tunggu lama tapi masih belum muncul vidio tiktok padahal itu belum keluar dari aplikasi tiktoknya lohhh Mohon dijawab ya, barangkali ada saran atau solusi supaya tidak terjadi permasalah yang ada di atas tersebut Sekian terimakasih"
732,Pengalaman belanja yang sangat buruk. Banyak produk palsu yang beredar. Tidak ada perlindungan konsumen dari pihak tiktok shop. Proses refund sangat ribet dan tidak berujung. Refund sangat susah walaupun sudah disertai bukti berupa video unboxing.
733,"Kesel bngt sama tiktok. Sekarang lama banget ke buka apk nya, malahan ada yg gak kebuka-buka cuma logonya doang Habis itu bikin HP ngelag, bukan HP gw kentang bjir tapi emg sdh dari tiktok nya. Ram gw awalnya masih bagus2 aja pas download tiktok HP sy lagi penuh memori + jadi agak ngeleg, biasa nya gak kaya gitu Makin update makin jelek, hadehh 😭 Tolong diperbaiki lah y"
734,Buat tiktok sukses sllu.. bisa memberikan motifasi2.yg keren lg. Yg menarik.tambh wawasan..makin bisa memberikan.yg terbaik konten2 yg seru dan bermanfaat.. bisa nmbh ilmu nmbh pelajaran juga..ok mantap..???!
735,"Kalo ga niat update ga usah update malah ngelag,gak bisa dibuka,habis habisin ram aja....udah enak kaya dulu malah diubah ubah malah gak karuan,yang niat lah kita juga yang conten kreator susah kalo tiktok gini teruss !!"
736,"Sudah bagus, tetapi kok saya buka tiktok cuman muncul logonya saja padahal juga jaringannya bagus, tolong diperbaiki ya.. dan juga cape harus instal ulang terus aplikasinya"
737,Tolong aplikasi nya bagus tapi sering update dan sering eror atau saat saya mau membuka aplikasi nya yang muncul cuma logo dan harus uninstall dan install ulang biar bisa di buka tolong buat tik tok di perbaiki lagi ya 🗿
738,"Tik tok semakin susah jalan,lambat ke semua nya hp suka error,dan harus uninstal lalu instal lg baru normal,tapi jarak sebulanan error lagi dan harus intal ulang lagi tik toknya,harus di benahin supaya lancar dan bermanfaat"
739,"makin kesini makin gajelas bgt, setelah diupdate malah jadi gabisa dibuka, udah hapus data smpe uninstall jg sama aja tetep gabisa, udah beberapa update seperti itu terus, gbisa dibuka"
740,Woyyyy tok tiktok. Benerin dong gimana sih. Masak tiap pagi gw buka tiktok cuma muncul logo doang. Harus di unistal lalu download lagi baru bisa. Penyimpanan masih banyak tpi pas abis buka tiktok keluar logo doang abis itu ngelag smua aplikasi gara gara tiktok. Benerin dongg ANJINGGG. Ayooo njing benerin apk lo njinggg babi bangsatt
741,"Tiktok kenapa sih,kok jadi kayak gini, banyak kendala,icon keranjang di akun saya kok gk bisa dibuka,,di akun orang lain saya buka icon keranjang juga gk muncul produk²nya,tolong di perbaiki dong,saya main tiktok juga nyari recehan,,kalo kayak gini gimana mau jualan,juga kenapa fitur pencarian, diganti fitur teman sih,,"
742,"Lhooo tak fikir hp saya waktunya ganti , ternyata masalahnya sama smua... kdang bsa kdang cuma kluar logo kyk ada virusnya, stelah itu buat kembali ke beranda lemot poll , smua aplikasi pada ikut ngefreeze , hmpir sebulan 2 kali slalu hard reset hp😪"
743,"Aplikasi keren, jgn sampai tutup tik tok shop nya.. Krn saya yg di kaltim pengen belanja terbantu bgt dgn adanya tik tok shop.. G ribet, barang berkualitas, dan cpt juga sampainya.."
744,"apk anehhhh,saya abis hapus apknya kemarin trus saya download lagi hari ini,waktu uda selwsai kedownload saya mau login,saya login pakai fb yang dulu awalnya langsung bisa sekarang malahan gabisa,malah harus masuk lewat crhome fbnya,waktu uda masuk,ehh malahh masii ttep kagak bisa,saya uda coba berkali kali malah kagak bisaa,minta tolong untukk diperbaikinnn lahh,saya mau masuk lagi ke akun saya yang fb ituu"
745,"Aplikasi nya sangat bagus , kebanyakan orang bisa berjualan online melalui tiktok shop, aplikasinya juga memiliki banyak konten menarik,yg bisa menghibur kita di waktu yangsuntuk"
746,Dear tiktok mohon diperbaiki bug nya...Lagi ada bug ya kayanya masa ram 4 buka tiktok cuma stuck di logo tiktok doang.. Sama settingan kualitas video mohon agar bisa disetting pilihan qualitas nya mulai 240 p sampa 1080p
747,tolong di perhatikan dan diperbaiki sistemnya karena sehabis update aplikasi tiktok sering tidak bisa di buka jadi kita harus uninstall terus install lagi dan besoknya eror lagi dan instal lagi dan seterusnya
748,"Saya baru update, tapi saya langsung kasih bintang lima(5) tapi tolong lah depolover.. Jgn sampai bnyk temen-temen yg ngeluh ky gini, usahakan lah supaya apk tiktok nya ringan untuk di gunakan, cuma itu saran saya terimakasih 🙏"
749,"Aplikasi ini ada virusnya ya? Knp selalu bikin ngeleg bahkan semua apk ikut ngelag gara"" Tiktok SAYA MOHON PIHAK TIKTOK MENGURUS MASALAH INI sudah banyak org"" Yg mengalami kendala seperti saya tapi tidak di respon satupun oleh pihak tiktok."
750,"Sumpah tadi sekitaran jam 20.00updet tiktok bukan nya bagus malah ga bisa di buka sampe sekarang jam 23.27.. aplikasi lain di updat jadi bagus tiktok di update malah ga bisa di buka , kocak .."
751,"Aq kira cuma tiktok aq doank yg g bisa di buka. Dikira krna HP nya yg mulai error smpe aq sering download hapus download trs tiktok. tolong perbaiki tiktok, qt yg pke HP android spek RAM kecil jdi sering error."
752,"Gimana sih tik tok sekarang, hp saya ram nya besar dipasang aplikasi tiktok malah macet², menyesal saya restart hp saya ternyata masalahnya di aplikasi til tok. Sangat tidak recomended aplikasi ini"
753,"ini kenapa jadi ga jelas gini sih? setelah saya update kadang jadi suka tidak bisa dibuka, kalo mau dibuka harus instal ulang dulu aplikasi nya. terus bikin hp jadi ngelag/lemot banget, saya udah muak banget harus instal ulang terus terusan. tolong ya tiktok segera di perbaiki."
754,"Udah nge lag, trus jga sering gak bisa dibuka. harus di hapus download lagi baru bisa di buka. Trus bsok nya lagi gak bisa di buka lagi apk nya. Parah banget apk tik tok. Jelek banget"
755,"Udah bolak balik hapus download tiktok, kirain hp saya yg eror, ternyata pas baca komen2nya sama. Tlg diperbaiki dong, takutnya lama2 ngaruh ke HP, padahal baru buka hp cepet panas, beda sama aplikasi lain."
756,Kenapa banyak sekali sound di dalam video kadang kadang tidak ramah seperti kata kata 18+ dan kenapa penyusuran nya kadang kadang berisi 18+ itu tidak nyaman sekali mau cari akun teman tetapi kadang kadang malah ada video 18+ padahal saya cuma cari nama akun tiktok teman saya
757,INI TIK TOK KENAPAAA PLISS semenjak ak apdet ga bisa di buka terus jadi nge lag parah ke hp nya sampe harus di matiin dulu biar ga nge lag lagi :(sedih banget padahal nemenin ak banget pas lagi bosen:(
758,"Aku sekarang udah gak suka sama apk ini, udah aku uninstal. Aneh aja dikit2 pelanggaran yg kesalahannya itu aku ga ngerti, apa aja kena pelanggaran. Pengajuan banding di tolak. Beralih ke snack video aku sekarang, udah muak sama tiktok yg gak jelas ini. Gua setuju kalo pemerintah nutup apk ini, makin semena2 aja. Kalo bisa apk ini jangan di bolehin masuk Indonesia"
759,Kenapa tik tok suka nge stuck cuma logo nya aja perbaiki lah woy tik tok. Ngapain sih kok aku suka nge stuck Mulu jadi harus download ulang terus perbaiki segera!!!!!!!!!!!
760,"Sampai kapan tiktok setiap jam 23.00 apk nya ga mau dibuka ? Harus di hapus, download ulang dulu baru bisa ke buka, tolong diperbaikin kalo mau sukses"
761,"tolong dong, saya kalo mau buka tiktok sering stuck logo pada saat sesudah update, pas di click aplikasinya agak sedikit menunggu dan baru keluar logo tiktoknya, itulun aplikasinya tidak berjalan, tolong di perbaikin!"
762,"Setiap hari harus uninstall,terus install lagi,setiap mau buka aplikasi.. Tolong dong semakin besar ram nya semakin lemot,dan semakin susah diakses .."
763,Sekarang banyak banget chalenge² ga jelas malah makin menjijikkan.. jadi aplikasi nya udh ga menarik kaya dulu.. kalau ga di perbaiki nti rate nya saya turunin lagi.. dan skrng malah banyak konten² live yg ga jelas.. MERUSAK..
764,Q udh hampir lima kali hapus download Tik tok.karna eror Dn sekarang yg ke 6 kalinya Tik tok smaa sekali ga bisa di buka . Malahan hp q jdi blank. Kalo ky gini males banget mau download lagi aplikasinya.
765,"SAYA MOHON PERBAIKI!!Tiktok makin lag skrg klo mutar video suka lag gtu kaya musik ny duluan tp video ny lambat gtu trs tiap kali gtu hrs di pause"" gt,and banyak jg rumor klo besok titok shop bakal di hapus sm pemerintah tolong jangan ya ditutup,wihslist ku disana,dan itu ya tolong pertimbangkan"
766,"Jujurly skrg tiktok makin ga jelas, berapa kali apk nya ga bisa di buka. Uninstall trus download gitu aja trus sampe error' hp. Kasih solusi yg baik donk biar bisa pake pake tiktok. Tlg perbaiki"
767,"sebelum saya update tidak ada masalah sama sekali, tetapi setelah saya update kenapa aplikasi tiktok jadi tidak bisa dibuka, jika dicoba dibuka hp saya akan bug dan langsung mati, tolong ini kenapa ya?"
768,"Knapa hp saya setelah buka tiktok jadi ngeblank ya, saya harus uninstall berkali"" Kukira hp saya tidak kuat ternyata bukan cuma saya yang mengalami ini, sangat kecewa padahal tadinya baik"" Saja"
769,"Semuanya itu baik , kalau iri satu sama lain itu bisa saling menghancurkan , tiktok baik' bisa membantu sesama . Kalau kurang stabil soal keuangan kacau , pertahankan sesuai aja jangan menoleh kebelakang fokus aja kedepan"
770,"tolong pihak tiktok segera memperbaiki permasalahan yang ada mulai dari aplikasinya yang suka ngefreze dan cuma hanya muncul logo aja trus keluar, tolong di carikan solusinya karna pengguna tiktok bukan hanya 1 atau 2 orang saja tapi ribuan bahkan jutaan yang menggunakan aplikasinya jdi tolong segera di tangani"
771,"Setelah di update aplikasi tiktok tidak bisa di buka hanya terlihat logo tiktok nya aja tapi ga bisa ke buka aplikasinya, tolong di perbaiki lagi , udah 2 Minggu lebih saya ga bisa buka tik tok"
772,"Kenapa sekarang photo mode udah gak slide otomatis lagi, harus slide manual?. Kenapa saya jarang dapat notifikasi push live dan kenapa tidak ada suara notifikasi?"
773,Berat banget aplikasinya... Harus di instal ulang teruss gara garaa gabisa kebuka aplikasi nya. Hmm capek bgt download ulang mulu. Tolong diperbaiki secepatnyaaaa.
774,"Aplikasi tiktok nya tolong di perbaiki lagi dong, saya sudah bberapa kali di hapus instal lagi, tapi sllu ga bisa di buka, hanya logo tiktok nya aja yang muncul ."
775,"Kenapa ya setiap buka Tik tok hanya keluar logo, hp jadi lelet gak bisa d sentuh, harus di Uninstall kemudian download lagi. Tpi besoknya eror lagi. Semoga bisa jadi pertimbangan buat tik tok"
776,"Setiap saya mau membuka aplikasi tiktok kenapa selalu tidak bisa, pasti langsung keluar sendiri, jadi harus di hapus terus download lagi agar bisa masuk ke aplikasi tiktok, mohon di perbaiki..."
777,"tolong dong tiktok ongkirnya kok mahal banget ya ke sulawesi gak kayak awal2 buka.. ongkirnya gada diskon samasekali, minimal belanja harus gede baru ada potongan harga. setidaknya kasih potongan ongkir 40rb kyk aplikasi sebelah. udah lama banget gak belanja di tiktok karna ongkirnya gede banget"
778,"Saya Sebagai warga tiktok kecewa sama updet bulan ini begitu banyak data yg harus di download entah apa saja sampai 2,50gb .buat orang2 yg hp nya ram3gb GK bakal bisa lagi main tiktok sekarang banyak yg mengalami loading GK masuk2 dan saya ngalami itu untuk depelover harap perbaiki lagi jangan sampai gini terus kita sebagai warga kecil tidak lagi merasakan serunya dunia tiktok terimakasih🙏🙏🙏🙏🙏"
779,"Kenapa dengan tiktok sekarang, tbtb terinstal sendiri apk nya, setelah dibuka kembali GK bisa masuk, malah ngestuck di logo tiktok ajaaaa bikin kesel deh ah! Hp gue jdinya lemot ni gegara Lo!!!!!!!!"
780,"Kenapa sering gak bisa dibuka aplikasinya? Dilogo aja, dan hp langsung lelet, harus hapus aplikasi tiktok terus instal lagi, udah hampir 1 bulan gak ada kemajuan"
781,"tiktok sgt menghibur dn dapat menaikkan mood sy, tetapi setelah diupdatr ini jd lemot lemot, lag parah, tdk bs dibuka bahkan kdg ketika digunakan keluar2 sndri. Tolong diperbaiki lg."
782,"Maaf koq beberapa hari ini tiktok gak bisa di buka aplikasi nya, tolong untuk dikonfirmasi kan kemaren dah update ulang tapi kembali lg gak bisa buka tiktok hanya muncul lambang nya aja, terima kasih atas perhatian nya"
783,"TOLONG DI PERBAIKI DAN DI PERHATIKAN, semakin kesini tiktok bugnya semakin parah, kemarin saya baru update tiktok, terus besok paginya tiktok saya sudah tidak bisa dibuka ngestuck di logonya sajaa, TOLONG DI PERBAIKI 🙏‼️"
784,"suka tiba tiba gk bisa di buka muncul logo terus,kalo di apus aplikasinya draf tiktok saya jadi kehapus ini gimana ya cara biar gk kaya gini lagi? tolong ya tiktok perbaiki lagi aplikasinya"
785,"Apakah TikTok Benar2 memberi BONUS Koin..?Loading Lama sekali saat masuk kehalaman BONUS, Terjadi Setelah menyelesaikan Tugas. tapi saat akan melakukan Tugas masih bisa/Normal Masuk Kehalaman BONUS Kkuatan Sinyal saya 987KB/d - 1,1MB"
786,Akhir ini Apk Tiktok sering membuat HP saya berat/susah membuka Aplikasi lainnya dan HP saya selalu restart ulang otomatis. Padahal HP saya Ram 8. Mimin Mohon pencerahannya tks.
787,Ini kenapa ya setelah update tiktok malah tidak bisa dibuka dan harus di uninstall dan download kembali apknya. Keesokan harinya saya tidak dapat membuka tiktok. Mohon bapak developer diperbaiki
788,"Aplikasi tik tok yang ini jelek bangat, sering ga bisa dibuka, setiap hari di Uniisntal lalu di donwload lgi. Padahal ram hpku 8, Ga jelas apk nya, tolong diperbaik8 apa penyebapnya."
789,"aplikasi nya sudah bagus, tapi sayaa ada kendala, waktu saya menonton video di tiktok, video nya mengalami frame atau lag, padahal jaringan saya oke aja"
790,"Untuk developer TikTok tolong perbaiki bug nya, dari kemarin TikTok saya gabisa dibuka.... Pas saya buka HP saya jadi lemot dan HP saya juga tiba-tiba restart sendiri saya kira HP saya rusak gimana ini."
791,"Apa nih, kemaren habis di-update malah lama dibuka tiktok nya, ga bisa kebuka cok. Harus uninstall apknya, install lagi baru deh bisa kebuka. Apaan dah.."
792,"Kenapa tikok skrng kadang bisa di bukang kadang GK bisa di buka Kadang di hapus datanya baru bisa masuk Kadang di unistal dlu baru di instal urang Baru bisa masuk Kadang ketika buka apl tiktok suka ngelek ngelek Patah"" Mohon di perbaiki masalah nya Agar para pengguna apl bisa menikmati seperti biasanya Sekian dari saya terima kasih"
793,Jadi berat banget kenapa sih . Aku buka tidak bisa aku keluarin apk eh apk lain jadi ikut patah patah + lag . Aku uninstal enteng lagi terus aku download lagi . Enteng sebentar besok nya kembali lagi aku hapus lagi ini download lagi
794,"setelah updet ke yang terbaru, saat saya membuka tiktok, hanya muncul logo saja dan saat saya tunggu hanya bergambarkan logo tiktoknya saja, dan saya keluar dari tiktok hp saya merasa lag dan patah patah menyeluruh ke handpone, mengakibatkan blank hitam, awalnya saya kira bermasalah di hp nambun setelah saya memasuki tiktok terjadi hal seperti itu terus menerus, tolong pihak devloper di perbaiki"
795,"tiktok eror,lag aplikasi tidakbisa di buka kalo sudah keluar aplikasi lain jadi lemot parahh hp nge freeze sampai ber jam jam,TOLONG UNTUK DEVELOPER TIKTOK UNTUK MEMPERBAIKI APLIKASI SOALNYA BANYAK YANG MENGELUH/SUSAH WOEEEEE!!"
796,"Ponsel saya mengalami gangguan setelah update tiktok, gangguan pada ponsel saya pada saat saya membuka apk tiktok tiba tiba apknya ngefreeze sendiri dan hp saya tiba tiba ter-restart sendiri dan aplikasinya tidak bisa di buka"
797,"Saran aja ni buat aplikasi, kami adalah pengguna tik tok pembelian macam macam kebutuhan karena saya merasa terbantu dengan tik tok shop mulai dari harga"" murah dan penjualan yg mudah lebih baik tik tok membuat platform penjualan sendiri seperti toko e-commerce lain."
798,"Macam mana ini tik tok, gw mau buka tiktok cuma muncul logonya doang gw sampe gw hapus terus gw download lg udh ke 4 kalinya begitu terus. Padahal gw udh update. Tolong di perbaiki"
799,"tolong dong ini, kenapa ya kalo update tiba' gabisa di pake lagi app nya, harus di unapp trus di down lagi baru bisa kaya normal itu pun cuman sementara, tolong ya admin di perbaiki lagi"
800,Dalam 1minggu ini udah lebih 4x uninstall dan install tiktok gegara ngak bisa dibuka dan NGELAGG. Buat hp saya ngak bisa apa2. Tolong diperbaiki dong. susah kalau gini lama 2 saya hapus beneran tiktok
801,Setelah update ... yang tadinya bisa live main game...eh skrg malah gak jalan apk tiktok SMA gamenya Update kok malah bikin ribet. Tolong d perbaiki problemnya
802,Kenapa setiap saya mau masuk ke apk nya itu ga bisa cuma ada logo tiktok nya doang ini sudah terjadi beberapa kali sampai saya uninstall dan install lagi dan gara² itu data saya sampe mau habis
803,"Maaf sebelumnya, tadinya aku kira karena handphone aku yang terinfeksi virus dan suka ngelag eh pas dicek aman aja tuh, buka aplikasi lain sama sekali ga ngelag cuma buka Tiktok aja yang langsung ngelag bahkan sampai handphone ikut mati, tolong ini tiktok kenapa ngelag terus"
804,"Gk bisa kebuka tiktok nya, cuma ada logo ny aj, gw kecewa bgt Ama tiktok, mau update tiktok tapi gk bisa, udh gw gk bisa berkata-kata lagi, jadi mohon di perbaiki dan di tindak lanjuti lagi, makasih"
805,Tiktok ini kenapa kok aplikasinya ga bisa di bukak sih malah loading lama bgt trus ujung ujungnya malah kembali sendiri begitu terus berulang kali Sampek muak bgt tolong dong konfirmasinya kenapa aplikasinya malah jadi gini
806,Bagus banget cuman terlalu berat jadi buat hp yg kelas biasa gampang lelet jadi saran kami coba diringankan lagi agar bisa diterima disemua hp dan terbukti yg live banyak yg lelet padahal di aplikasi sebelah oke oke saja dengan jaringan yg sama. Terima kasih
807,Tik tok makin hari makin lemot dan aplikasinya makan ram banyak bikin hp lemot dan videonya sering ngeleg terus dan keluar sendiri parah tlg kalau bisa diperbaiki atau kalau tidak aplikasi ini orang akan banyak tidak pakai lagi dan pemilik aplikasi tutup
808,"Hallo min disini tiktok baik sih tapi kenapa saya tidak bisa buka tiktok cuma muncul logo doang, bisa bantu ga min? , saya udah hapus cache dan matiin ulang hape , tapi tetep ga bisa saya bosen kalo ga ada tiktok , kaya error gitu min"
809,Saya ingin bilang ke anda kenapa ya tik tok saat saya buka itu lama banget loading nya sementara aplikasi yang lain bisa dengan mudah padahal memori saya masih kosong dan saya juga sudah update sepenuhnya kemarin saya sudah panik saya kira saya kena Ben tik tok ternyata orang lain juga gitu tolong segera di perbaiki ya sekian dari saya
810,"Mau ngajukan keluhan. Apk tiktok sekarang bikin lemot hp, hp saya ram 4GB. Apk tiktok enggak bisa di buka cuman muncul logo doang. Setiap mau donload apk tiktok di plastore MBnya naik terus"
811,"Parah bgt ini tiktok abis pembaruan malah gabisa di buka tbtb ngeleg bgt. Penyimpanan aku kosong bgt, masa jadi stuck di logo aja sih. Ujung2nya uninstall install terus2an udah 4x begini, mana lagi pesen paket di tiktok shop. Hadeh perbaiki dong tiktok"
812,"Semakin di update semakin bug dan lag parah , di pencet malah keluar logonya aja nonton video gak bisa nge cek akun kita gak bisa lihat notifikasi aja gak bisa tolong di perbaiki lagi yah pihak TikTok kasihan yang hp nya ram 3 , Terima Kasih🙌🏻"
813,"Sering eror, Bikin HP Hang, Experia XZ3 yg sy pakai sering eror jika buka tiktok, padahal sebelumnya biasa saja, sekarang kalo sampai 3kali buka harus instal ulang aplikasinya. Kira2 ada perbaikan tdk ya ?"
814,sebenarnya bagus sih...tapi suka error' aj KLO mau masuk appx bahkan susah gak masuk2 CMN ad tanda logo tiktokx aj udh 2× hapus instal hapus instal tapi tetep ngk berubah...tolong di perbaiki...sekian
815,"Ini knp tiktok tiap hari mau buka pasti gabisa, bisa buka kalo diinstal ulang. Masa tiap hari harus uninstall trs install ulang gitu terus? Tolong segera diperbaiki, apalagi kalo udh install ulang voucher tiktok shop pd ilang semua"
816,"lu kalo habis update itu benerin kok ini tiktok gakbisa di buka kok sekarang tiktok jadi gini dulu gak peduli mau update atau engga yang penting video ada , tiktok kok habis update malah jadi gak guna buat apa update kalo gitu , kecewa berat sih gua"
817,"Update sekarang jadi jelek banget sering gabisa masuk, kadang cuman muncul logo nya aja, sama sering patah patah terus video nya ,tolong diperbaiki lagi"
818,"Kok GK bisa di buka sekarang tiktok ku... Udah saya hapus,instal lagi. Setiap loading kok GK bisa ...semua bilang peluncur tidak menanggapi. Nunggu lagi beberapa menit , matiin hp. Masuk lagi GK bisa ulangi lagi kyak gitu terus. Berjam,jam kok GK bisa loading."
819,"Saya punya dua akun, akun utama dan akun cadangan. Hingga hari ini akun utama saya tidak bisa menggunakan fitur prompt padahal akun cadangan saya bisa. Jadi semua post tentang prompt 'tidak tersedia' di akun utama saya. Sudah lapor dan minta bantuan responnya lama cuma buat bilang ""Tidak semua akun bisa menggunakan fitur prompt"""
820,"Kapok rasane mau download tiktok lagi, hbs di update malah hpku mati g bisa diidupin, bukan punyaku doang tapi rata"" tetanggaku juga gitu gara"" kenak virus tiktok. Hpnya lngsung mati ga bisa di hidupin, sampe aku ganti hp lgi:) Lain kali tolong perhatiin!."
821,Terus kena pelanggaran padahal tidak ada salah saya sampai buat 2 akun dan akun itu dua dua nya kena pelanggaran tidak bisa menchat teman dll ini perlu di perbaiki saya sungguh amat lah kesal karena saya sudah tidak bisa menghubungi teman saya harap bisa di perbaiki secepat nya
822,"maksudnya apa ini!?, tiap malam kalo buka tik tok pasti loading nya lama sampe harus download ulang, pulih kan akun lagi, capek bgt sumpah, perasaan dulu tik tok gk gini deh,di tambah lagi pas mau pulihin akun logo facebooknya kadang gk bisa di pencet, saya sempat panik karna akun saya gk bisa kembali untung kembali lagi."
823,Sangat di sayangkan teruntuk developer apk nya bagus tapi yang menjadi masalah tiktoknya sering error' cuman muncul logonya aja tapi gak bisa masuk ke apk nya mohon di perbaiki lagi🙏🙏🙏
824,Tiktok setelah di perbaharui bukannya makin bagus malah tiktok yg awalnya tulisannya bahasa asing bisa di terjemahkan ini sekarang udah nggk bisa... Udah coba lht ke pengaturan bahasa tapi smaa aja tetap nggk bisa
825,"Gak tau emg cuma di aku atau yg lain juga ngerasain. Terkadang suka tiba² keluar pas lgi scrool gtuloh, trs klo udh keluar pas di klik g bisa². Jdi hrs uninstal dan instal ulang trs nih. Mohon diperbaiki"
826,"Parah bngt sih.. stlh update malah sering gak bisa dibuka🥴, smpe bbrapa kali uninstal dan instal ulang. Skrng aja gak bisa dibuka lg aplikasinya, masa harus instal ulang lg aja..hadeuuhh.. Gmna nih min 🤔"
827,"Setelah update malah gak bisa di buka, kalau gitu mnding jangan di update sekalian. Di buka aplikasi susah sekalinya bisa di buka malah ngebug"
828,"Tiktok kok skrng bug trs ya,,,,,,setiap kali mau buka tiktok pasti yang muncul logo titok nya doang,,, jadi yang aku lakuin tiap kali tiktok bug itu aku harus download ulang"
829,"sering tidak bisa di buka, padahal sudah beberapa kali update, jaringan internet manapun tidak mempengaruhi. tetapi dari aplikasi sendiri yang ada gangguan mohon untuk di perbaiki 🙏"
830,"Nyesel update, setelah di update tiktok jadi ngeblang cuman muncul logo ajah, gak bisa dimainin,,,, tolong dong cepet diperbaharui lagi ke semula, sumpah ini gk bisa dibuka, Kirain saya ajah yg ngelag"
